county1,distance,county2
12001,21.9413918952778,12007
12001,26.1609914220247,12125
12001,26.5278478903109,12041
12001,36.8464307625059,12019
12001,37.2613147545346,12075
12001,37.32388476194,12107
12001,37.7494032157197,12083
12001,40.918423915885,12023
12001,44.9413115116939,12003
12001,50.7809471067878,12029
12001,52.0277644674715,12121
12001,53.8033888786978,12067
12001,58.3740036629111,12017
12001,60.2242019921866,12109
12001,62.2614984201334,12031
12001,65.8280243372041,12035
12001,66.5894201464713,12047
12001,68.5800158326681,12119
12001,73.3689285995525,12089
12001,74.0258687808316,12069
12001,76.818680769811,12053
12001,79.0585203492696,12123
12001,83.6967301591566,12127
12001,85.2803827194381,12079
12001,95.1010513105882,12101
12001,100.500749742609,12117
12001,101.659008340929,12095
12001,105.305625595573,12065
12001,122.237367186092,12057
12001,124.644290544718,12103
12001,125.045854714777,12129
12001,125.634239128367,12105
12001,126.961354698998,12073
12001,133.819750894759,12097
12001,138.145278007777,12009
12001,146.786451516071,12037
12001,148.538738985081,12039
12001,151.616122841891,12081
12001,154.284177366119,12049
12001,155.639157080448,12077
12001,172.13678022981,12115
12001,172.605678318827,12055
12001,174.046922222041,12061
12001,174.578039261007,12045
12001,174.939795335429,12027
12001,176.914138564886,12013
12001,181.649656631502,12093
12001,186.843165509726,12063
12001,195.586373357738,12015
12001,196.563743895454,12111
12001,199.797061048004,12005
12001,200.935540450226,12043
12001,207.620168177456,12133
12001,215.27740273169,12085
12001,217.671686513913,12071
12001,221.997821496567,12059
12001,228.816797224573,12051
12001,237.52757809074,12131
12001,239.45311491161,12099
12001,252.605637964462,12021
12001,262.151100173673,12091
12001,266.566275336124,12011
12001,287.025207710134,12113
12001,290.200701523106,12087
12001,303.017087571222,12086
12001,304.576027442503,12033
12003,19.0613316768426,12125
12003,20.4283534463475,12023
12003,27.3108480809677,12007
12003,35.31646691639,12019
12003,37.4480200470689,12089
12003,39.019664192184,12031
12003,40.3378272511597,12047
12003,42.2534606200296,12121
12003,44.9413115116939,12001
12003,50.9495618326502,12041
12003,57.2183652308104,12067
12003,59.9432974534874,12107
12003,62.5436127776911,12109
12003,70.1395552553776,12079
12003,74.1588716165942,12029
12003,77.4340113832883,12075
12003,79.0413003681834,12083
12003,81.321415614812,12123
12003,84.5464609831057,12035
12003,94.9457051920496,12065
12003,103.184122980508,12017
12003,111.11610980959,12127
12003,112.088578359053,12119
12003,113.491049068151,12069
12003,118.10524648317,12073
12003,121.757901359119,12053
12003,124.390890238753,12129
12003,133.053572303794,12117
12003,138.2415023839,12095
12003,138.736914750623,12039
12003,140.040859663077,12101
12003,153.166114489058,12077
12003,153.469909186581,12037
12003,167.081791741422,12057
12003,167.919862957242,12105
12003,169.365543406736,12103
12003,170.031450675021,12009
12003,171.52132291681,12097
12003,172.691243030725,12013
12003,175.958229409593,12063
12003,178.897379612587,12045
12003,196.473694373585,12081
12003,197.792136796789,12049
12003,198.716876478241,12005
12003,201.046606562588,12133
12003,209.180158463556,12061
12003,212.114416655833,12059
12003,214.079729965746,12055
12003,216.99104644532,12115
12003,218.602468405134,12027
12003,220.361749435685,12093
12003,231.662174116465,12131
12003,232.413697794339,12111
12003,239.764028527189,12015
12003,242.373306710347,12043
12003,252.114995002944,12085
12003,256.592758249876,12091
12003,261.828275179969,12071
12003,270.703381989708,12051
12003,277.968624907249,12099
12003,281.676117136196,12113
12003,295.719860481111,12021
12003,300.581097351554,12033
12003,306.264842333443,12011
12003,333.125703358594,12087
12003,343.770622615716,12086
12005,25.2646903683279,12133
12005,27.8847948894493,12013
12005,31.9858183927051,12045
12005,42.3662016159295,12131
12005,44.7600811412853,12059
12005,45.5337767587702,12063
12005,45.5525100821773,12077
12005,57.881431005668,12037
12005,64.53377730909,12091
12005,65.1224383001868,12039
12005,75.3233601389933,12129
12005,82.146624121313,12073
12005,88.4244507985523,12113
12005,104.595621075242,12065
12005,104.973175638676,12033
12005,121.370992045016,12123
12005,129.662775916156,12079
12005,147.591757822291,12067
12005,152.764786490016,12029
12005,157.575622375897,12121
12005,160.74129475008,12047
12005,173.37509962882,12041
12005,179.582304403939,12023
12005,183.06334310049,12075
12005,195.448307014866,12125
12005,198.716876478241,12003
12005,199.797061048004,12001
12005,208.076790181682,12007
12005,210.100634686469,12017
12005,222.779496885786,12053
12005,226.17169821734,12019
12005,226.85731697583,12083
12005,231.753575902556,12089
12005,233.474310121671,12101
12005,237.012768863508,12107
12005,237.705045424958,12103
12005,237.735859344039,12031
12005,238.400923374423,12119
12005,255.101200783316,12109
12005,255.345357728611,12057
12005,256.700971910773,12069
12005,265.624990356557,12035
12005,274.402194472531,12081
12005,280.470671794328,12127
12005,285.372339804035,12095
12005,285.372482064493,12105
12005,289.206278558855,12115
12005,290.991819908938,12117
12005,298.465894077716,12049
12005,310.011636152553,12097
12005,313.079025828241,12027
12005,322.969735505019,12015
12005,325.967555286149,12009
12005,327.823171017679,12055
12005,341.251738926443,12071
12005,348.238602363143,12093
12005,352.090546034431,12043
12005,352.291521927477,12061
12005,370.888174744161,12111
12005,373.339275613261,12051
12005,383.81605167937,12021
12005,384.966842857293,12085
12005,400.815971609927,12099
12005,418.942318243196,12087
12005,420.088836173926,12011
12005,447.509659853215,12086
12007,14.0854650355386,12125
12007,18.6820242659985,12019
12007,21.9413918952778,12001
12007,27.3108480809677,12003
12007,33.2217800383293,12023
12007,34.7455264434839,12107
12007,40.7393468425469,12041
12007,40.9917696043929,12031
12007,47.0444940843545,12109
12007,51.4600828392303,12089
12007,51.9488553887148,12083
12007,52.148922057674,12121
12007,58.8859830947926,12075
12007,60.0500105241644,12047
12007,60.6298052217216,12067
12007,62.0903262046068,12035
12007,66.6909570716254,12029
12007,79.2186395229155,12017
12007,85.1784252447029,12079
12007,85.3476016093665,12119
12007,86.184095511399,12127
12007,86.1865579619593,12069
12007,86.8903079481234,12123
12007,96.9600397411511,12053
12007,106.898357320405,12117
12007,108.125931732512,12065
12007,111.277234597622,12095
12007,114.982095500661,12101
12007,130.930232405086,12073
12007,132.75373915711,12129
12007,140.708418849035,12105
12007,141.406687194167,12057
12007,144.252350464299,12009
12007,144.462669832921,12097
12007,145.398262295304,12103
12007,152.362129050142,12039
12007,157.984196850744,12037
